name,city,country,status.started,status.completed,height,floors,material,function,student
15th and Island Tower 2,San Diego,US,0,0,146,45,concrete,1,
855 6th Avenue,New York City,US,2014,2016,146,42,concrete/steel,3,
33 North LaSalle,Chicago,US,1928,1930,146,38,steel,1,
The Century,Los Angeles,US,2007,2010,145.6999969,42,concrete,1,
Paramount at Buckhead,Atlanta,US,2002,2004,145.6999969,40,concrete,1,
Consolidated Gas Building,New York City,US,1924,1928,145.6999969,24,steel,1,
Riverside Center Building 1,New York City,US,0,2018,145.6900024,37,concrete,1,
CassaNY,New York City,US,2007,2010,145.6399994,45,concrete,2,
Summit on Lake,Chicago,US,2012,2014,145.5399933,42,concrete,1,
Lincoln Park 2550,Chicago,US,2009,2012,145.5399933,39,concrete,1,
Moment,Chicago,US,2014,2016,145.5,45,concrete,1,
225 Franklin Street,Boston,US,0,1966,145.3899994,33,steel,1,
1500 Post Oak Boulevard,Houston,US,2014,2016,145.3399963,30,concrete,1,
The O'Quinn Medical Tower at St. Luke's,Houston,US,0,1990,145.3000031,29,concrete,2,
W Austin Hotel & Residences,Austin,US,2008,2010,145.2700043,36,concrete,2,
Turnberry Place I,Las Vegas,US,1999,2001,145.2400055,38,concrete,1,
Turnberry Place II,Las Vegas,US,0,2002,145.2400055,38,concrete,1,
Turnberry Place III,Las Vegas,US,2002,2004,145.2400055,38,concrete,1,
Turnberry Place IV,Las Vegas,US,2004,2006,145.2400055,38,concrete,1,
Latitude on the River,Miami,US,2004,2007,145.1900024,44,concrete,1,
100 Pine Center,San Francisco,US,0,1972,145.1000061,34,steel,1,
Bankers Building,Chicago,US,1926,1927,145.0899963,41,steel,2,
The Pinnacle,Sunny Isles Beach,US,0,1998,145.0899963,40,concrete,1,
Daily News Building,New York City,US,1928,1930,145.0899963,36,steel,1,
Mutual of America Building,New York City,US,1994,1995,145.0899963,34,steel,1,
45 Fremont Center,San Francisco,US,0,1979,145,34,steel,1,
400 Park Avenue South,New York City,US,2012,2015,144.9799957,42,concrete,1,
135 West 52nd Street,New York City,US,2013,2015,144.7799988,46,concrete,1,
Electra,San Diego,US,2004,2008,144.7799988,43,steel/concrete,1,
The Murano,Philadelphia,US,2006,2008,144.7799988,42,concrete,1,
Book Tower,Detroit,US,1916,1926,144.7799988,38,steel,1,
The Signature at MGM Grand Tower I,Las Vegas,US,2004,2006,144.7799988,38,concrete,1,
The Signature at MGM Grand Tower II,Las Vegas,US,2005,2006,144.7799988,38,concrete,1,
The Signature at MGM Grand Tower III,Las Vegas,US,2005,2007,144.7799988,38,concrete,1,
Metropolitan Tower,Chicago,US,1923,1924,144.7799988,37,steel,1,
Cook County Administration Building,Chicago,US,1962,1964,144.7799988,35,concrete,1,
Koppers Building,Pittsburgh,US,1927,1929,144.7799988,34,steel,1,
Plaza VII,Minneapolis,US,1984,1987,144.6399994,36,steel,2,
Plaza 440,Chicago,US,0,1991,144.4799957,49,concrete,2,
American Furniture Mart,Chicago,US,1922,1926,144.4799957,29,concrete/steel,2,
One South Broad,Philadelphia,US,1930,1932,144.3699951,28,steel,1,
Marymount University Dormitory,New York City,US,2000,2001,144.1699982,48,concrete,1,
12 Metrotech Center,New York City,US,2001,2005,144.1699982,32,steel,2,
333 Market Building,San Francisco,US,0,1979,144,33,steel,1,
505 West 37th Street East Tower,New York City,US,2007,2010,143.8699951,43,concrete,1,
Park Avenue Place,New York City,US,2003,2004,143.8699951,38,concrete,1,
United States Plywood Building,New York City,US,0,1961,143.8699951,38,steel,1,
Wells Fargo Place,St. Paul,US,1985,1987,143.6100006,37,concrete,1,
The Link,New York City,US,2005,2007,143.5599976,43,concrete,1,
325 5th Avenue,New York City,US,2004,2006,143.5599976,42,concrete,1,
Hotel InterContinental,Chicago,US,1927,1929,143.5599976,42,steel,1,
"Continuum on South Beach, South Tower",Miami Beach,US,2000,2002,143.5,44,concrete,1,
1100 Millicento Residences,Miami,US,2012,2015,143.3000031,42,concrete,1,
Embassy Suites Times Square,New York City,US,1988,1990,143.2599945,44,composite,1,
Aire,New York City,US,0,2010,143.2599945,42,concrete,1,
Wyndham New Yorker Hotel,New York City,US,0,1930,143.2599945,41,steel,1,
City Place,Chicago,US,0,1990,143.2599945,40,concrete,2,
Hampshire House,New York City,US,0,1931,143.2599945,37,steel,1,
Trump Taj Mahal - Chairman Tower,Atlantic City,US,2006,2008,143.2100067,41,concrete,1,
626 1st Avenue East Tower,New York City,US,2014,2016,143.1300049,35,concrete,1,
"Roosevelt University Academic, Student Life Residence Center",Chicago,US,2010,2012,143,32,steel/concrete,3,
3630 Peachtree Road,Atlanta,US,2007,2009,142.9499969,40,concrete,1,
The Carlyle,Minneapolis,US,2005,2007,142.8500061,41,concrete,1,
Columbus Plaza,Chicago,US,1978,1980,142.6499939,47,concrete,1,
Scripps Center,Cincinnati,US,0,1990,142.6499939,36,steel,1,
U.S. Bancorp Center,Minneapolis,US,1998,2000,142.5,32,steel,1,
AT&T Tower,Minneapolis,US,1989,1991,142.3399963,34,steel,1,
VIA 57 WEST,New York City,US,2013,2016,142.3399963,32,composite,1,
Melody at Arsht Center,Miami,US,2014,2016,142.3000031,36,concrete,2,
Coast at Lakeshore East,Chicago,US,2011,2013,142.2200012,47,concrete,1,
The Sterling,Chicago,US,2000,2001,142.0399933,49,concrete,2,
650 California Street,San Francisco,US,0,1964,142,33,steel,1,
Qwest Plaza,Seattle,US,1973,1976,142,33,steel,1,
Echelon Place Shangri-La Tower,Las Vegas,US,2007,0,142,0,concrete,1,
Allure Las Vegas Tower I,Las Vegas,US,2005,2007,141.9600067,41,concrete,1,
National Newark Building,Newark,US,1930,1931,141.7299957,34,steel,1,
The Marc,New York City,US,2002,2004,141.5599976,42,concrete,1,
Franklin County Courthouse,Columbus,US,1989,1991,141.3999939,27,steel,1,
Tribune Tower,Chicago,US,1922,1925,141.1199951,34,steel,1,
200 North Dearborn Apartments,Chicago,US,1987,1989,141.0700073,47,concrete,1,
Randolph Tower,Chicago,US,0,1929,141.0200043,45,steel,1,
Victory Apartments,New York City,US,0,2002,140.9199982,45,concrete,1,
Smith Tower,Seattle,US,1911,1914,140.8200073,38,steel,2,
Montague-Court Building,New York City,US,0,1927,140.8200073,35,steel,1,
Presidential Towers I,Chicago,US,1983,1985,140.6000061,49,concrete,1,
Presidential Towers II,Chicago,US,1983,1985,140.6000061,49,concrete,1,
Presidential Towers III,Chicago,US,1983,1985,140.6000061,49,concrete,1,
Presidential Towers IV,Chicago,US,1983,1985,140.6000061,49,concrete,1,
Jumeirah Essex House,New York City,US,0,1931,140.5099945,42,steel,2,
Trump Towers I,Sunny Isles Beach,US,2005,2008,140.5,45,concrete,1,
Trump Towers II,Sunny Isles Beach,US,2005,2008,140.5,45,concrete,1,
Trump Towers III,Sunny Isles Beach,US,2005,2008,140.5,45,concrete,1,
480 Washington Boulevard,Jersey City,US,2001,2004,140.5,32,steel,1,
The New York,Chicago,US,0,1986,140.4900055,49,concrete,1,
One Miami East Tower,Miami,US,2003,2005,140.2100067,44,concrete,1,
100 North Main Street,Winston-Salem,US,1994,1995,140.2100067,34,steel,1,
Element,Tampa,US,2007,2009,140.2100067,34,concrete,1,
Louisiana State Capitol,Baton Rouge,US,1931,1932,140.2100067,34,steel,1,
The Tower,Burbank,US,1987,1988,140.1999969,32,concrete,1,
400 Lincoln Square,Bellevue,US,2014,2017,140.1999969,31,composite,1,
Ruan Center,Des Moines,US,1973,1975,140.1100006,36,steel,1,
5th & West,Austin,US,2015,2017,139.8999939,39,concrete,1,
8 Stone Street,New York City,US,2008,2010,139.6999969,43,concrete,1,
Palms Fantasy Tower,Las Vegas,US,2004,2006,139.6000061,40,concrete,2,
The Residences at Grand Plaza,Chicago,US,2000,2003,139.6000061,39,concrete,1,
Park Tower,Tampa,US,0,1972,139.6000061,36,steel,1,
600 Fairbanks Court,Chicago,US,2006,2008,139.5,41,concrete,1,
66 Rockwell Place,New York City,US,2011,2014,139.3000031,42,concrete,1,
Swissotel Chicago,Chicago,US,1986,1989,139.2899933,43,concrete,1,
The Water Club at Borgata,Atlantic City,US,2006,2008,139.2899933,39,concrete,2,
Equitable Building,Chicago,US,1963,1965,139.2899933,35,steel,1,
One Union Square,Seattle,US,0,1981,139,36,steel,1,
Trump Parc Condominiums,New York City,US,1929,1930,139,36,steel,2,
Atlantic Wharf,Boston,US,2007,2011,139,31,composite,2,
Kingsbury Plaza,Chicago,US,2005,2007,138.8399963,47,concrete,1,
The Monaco North Tower,Jersey City,US,2009,2011,138.6999969,47,concrete,1,
The Monaco South Tower,Jersey City,US,2009,2011,138.6999969,47,concrete,1,
Icon Las Olas,Fort Lauderdale,US,2015,2017,138.6999969,45,concrete,2,
Olive 8,Seattle,US,2006,2009,138.6900024,39,concrete,2,
The Pinnacle Marina Tower,San Diego,US,2003,2005,138.6799927,36,concrete,1,
Paramount Building,New York City,US,1926,1927,138.6799927,31,steel,1,
Accenture Tower,Minneapolis,US,1985,1987,138.5200043,33,concrete,1,
400 North LaSalle,Chicago,US,2003,2005,138.4299927,45,concrete,1,
Equitable Life Building,Los Angeles,US,0,1969,138.3999939,34,steel,1,
Trump SoHo Hotel Condominium,New York City,US,2006,2010,138.3800049,42,concrete,1,
Eleven-Eleven Third Avenue,Seattle,US,0,1980,138.3800049,34,steel,1,
City Hall,Los Angeles,US,1926,1928,138.3800049,27,steel,1,
909 Walnut,Kansas City,US,1930,1931,138.3000031,35,steel,2,
717 Texas Avenue,Houston,US,2001,2003,138.1999969,34,concrete,1,
ABN AMRO Plaza,Chicago,US,2001,2003,138.1300049,29,composite,1,
Turnberry Towers - East Tower,Las Vegas,US,2005,2007,138.0800018,45,concrete,1,
Turnberry Towers - West Tower,Las Vegas,US,2005,2008,138.0800018,45,concrete,1,
600 North Lake Shore Drive - North Tower,Chicago,US,2005,2008,138.0800018,41,concrete,1,
53rd at Third,New York City,US,1983,1986,138.0800018,34,steel,1,
Spire,Atlanta,US,2004,2005,138,28,concrete,1,
The Harmon,Las Vegas,US,2007,0,138,27,concrete,2,
510 Madison,New York City,US,2007,2010,137.8699951,31,steel,1,
AT&T Center,Los Angeles,US,0,1965,137.8000031,32,steel,1,
Las Olas River House I,Fort Lauderdale,US,2001,2004,137.7700043,42,concrete,1,
Roanoke Building,Chicago,US,1913,1927,137.7700043,37,steel,1,
The Dylan,New York City,US,2011,2013,137.7700043,34,concrete,1,
William R. Snodgrass Tennessee Tower,Nashville,US,0,1970,137.7700043,31,concrete,1,
High Street Tower,Boston,US,0,1990,137.7700043,30,steel,1,
1065 Avenue of the Americas,New York City,US,1955,1957,137.4700012,38,steel,1,
Buckhead Grand,Atlanta,US,2002,2004,137.4700012,38,concrete,1,
Metropolitan Life North Building,New York City,US,1931,1950,137.4700012,31,steel,1,
7 Bryant Park,New York City,US,2013,2015,137.4100037,29,composite,1,
Riverbend Condominiums,Chicago,US,2000,2002,137.3899994,38,concrete,1,
The Collection,Honolulu,US,2015,2016,137.1999969,43,concrete,1,
W Bellevue Hotel,Bellevue,US,2014,2017,137.1999969,42,composite,2,
M2,Jersey City,US,2013,2016,137.1999969,38,concrete,1,
The Shoreham,Chicago,US,2003,2005,137.1600037,47,concrete,1,
Eugenie Terrace on the Park,Chicago,US,0,1987,137.1600037,44,concrete,1,
Bellevue Towers Two,Bellevue,US,2006,2008,137.1600037,43,concrete,1,
One Lincoln Tower,Bellevue,US,0,2005,137.1600037,42,composite,2,
Tower 31,New York City,US,2004,2006,137.1600037,41,concrete,1,
47 East 34th Street,New York City,US,0,2009,137.1600037,36,concrete,1,
Gateway Center III,Chicago,US,1970,1971,137.1600037,35,composite,1,
100 Summer Street,Boston,US,0,1974,137.1600037,32,steel,1,
Three Wells Fargo Center,Charlotte,US,1997,2000,137.1600037,32,concrete,1,
Granby Tower,Norfolk,US,0,0,137.1600037,31,concrete,1,
One Cleveland Center,Cleveland,US,1980,1983,137.1600037,31,steel,1,
Westin Seattle North Tower,Seattle,US,0,1982,137,47,steel,1,
Veer Towers East,Las Vegas,US,2006,2010,137,36,composite,1,
Veer Towers West,Las Vegas,US,2006,2010,137,36,composite,1,
Hubbard Place,Chicago,US,2012,2013,136.9600067,44,concrete,1,
One Miami West Tower,Miami,US,2003,2005,136.8600006,45,concrete,1,
200 Squared,Chicago,US,2008,2010,136.8600006,42,concrete,1,
Millennium Point,New York City,US,1999,2001,136.8600006,38,concrete,2,
Chateau Beach Residences,Sunny Isles Beach,US,2012,2015,136.8000031,34,concrete,1,
Eleven80,Newark,US,1929,1930,136.6000061,35,steel,1,
50 Broadway,New York City,US,1926,1927,136.5500031,37,steel,1,
Adams Express Building,New York City,US,0,1916,136.5500031,33,steel,1,
W Minneapolis - The Foshay,Minneapolis,US,1926,1929,136.5500031,32,steel,1,
1250 Broadway,New York City,US,1969,1970,136.3000031,30,steel,1,
La Perla Ocean Residences,Sunny Isles Beach,US,2004,2006,136.25,42,concrete,1,
Ivy Tower,New York City,US,2001,2003,136.25,41,concrete,1,
Omni Fort Worth Hotel,Fort Worth,US,2006,2009,136.25,33,concrete,2,
Ann & Robert H. Lurie Children's Hospital of Chicago,Chicago,US,2008,2012,136.1900024,22,composite,1,
University Club Tower,Milwaukee,US,2004,2007,136,36,concrete,1,
Greenwich Club Residences,New York City,US,1929,1931,135.9400024,37,steel,1,
Manchester Grand Hyatt Seaport,San Diego,US,0,2003,135.9400024,34,steel,1,
Savoy-Plaza Hotel,New York City,US,1927,1930,135.9400024,33,steel,1,
300 South Wacker,Chicago,US,0,1971,135.6399994,36,concrete,1,
1400 Broadway,New York City,US,1930,1931,135.6399994,35,steel,1,
120 Wall Street,New York City,US,0,1930,135.6000061,33,steel,1,
Fisher Building,Detroit,US,1927,1928,135.4700012,30,steel,1,
Premier on Pine,Seattle,US,2012,2015,135.3300018,39,concrete,1,
The Westin Diplomat Resort,Hollywood,US,1998,2002,135.3300018,39,concrete,1,
McCormick Place Marriott Marquis,Chicago,US,2015,2017,135.1799927,40,concrete/steel,1,
Trump Hollywood,Hollywood,US,2007,2009,135.0299988,40,concrete,1,
Bridge Tower Place,New York City,US,0,2001,135.0299988,38,concrete,1,
100 Park Avenue,New York City,US,1948,1949,135.0299988,36,steel,1,
Xerox Tower,Rochester,US,0,1968,135.0299988,30,steel,1,
Jackson Tower,St. Paul,US,0,1986,135,46,concrete,1,
Element New York Times Square West,New York City,US,2008,2010,135,39,concrete,1,
Daily Commerce Building,New York City,US,1930,1931,135,38,steel,1,
City Hall,Kansas City,US,1935,1937,135,30,steel,1,
Optima Chicago Center,Chicago,US,2011,2014,134.8999939,42,concrete,1,
Lucerne Apartments,New York City,US,0,1991,134.8800049,45,concrete,1,
Harriman Building,New York City,US,1926,1928,134.7200012,37,steel,2,
One Summit Square,Fort Wayne,US,1978,1982,134.7200012,27,concrete,1,
SunTrust Center,Orlando,US,0,1988,134.4199982,30,concrete,1,
Hartford 21,Hartford,US,2004,2006,134.1199951,36,steel,1,
The Beach Club Tower 1,Hallandale Beach,US,2003,2005,134.1100006,43,concrete,1,
The Beach Club Tower 3,Hallandale Beach,US,2004,2007,134.1100006,43,concrete,1,
1001 South State Street,Chicago,US,2014,2016,134.1100006,40,concrete,1,
Met 1,Miami,US,2004,2007,134.1100006,40,concrete,1,
Fifteen Twenty-One Second Avenue,Seattle,US,2007,2008,134.1100006,38,concrete,1,
Potala Tower,Seattle,US,0,0,134.1000061,41,concrete,2,
340 Fremont Street,San Francisco,US,2014,2016,134.1000061,40,concrete,1,
Kinects,Seattle,US,2015,2017,134.1000061,40,concrete,1,
Tilt 49,Seattle,US,2015,2018,134.1000061,40,concrete,1,
2nd and Pine,Seattle,US,2015,2017,134.1000061,39,concrete,1,
Cirrus,Seattle,US,2013,2015,134.1000061,39,concrete,1,
Tower 12,Seattle,US,2015,2017,134.1000061,39,concrete,1,
City Place,Oklahoma City,US,0,1931,134.1000061,33,steel,1,
The Olivia,New York City,US,0,2001,134.1000061,33,composite,2,
Insignia North Tower,Seattle,US,2012,2016,134,41,concrete,1,
Insignia South Tower,Seattle,US,2012,2015,134,41,concrete,1,
One Canal Place,New Orleans,US,0,1979,134,32,steel,1,
The Mondrian,New York City,US,0,1992,133.8099976,43,concrete,1,
One Park Tower,Atlanta,US,0,1961,133.8099976,32,steel,1,
W Dallas Victory Hotel & Residences,Dallas,US,2004,2006,133.8000031,32,concrete,1,
Wrigley Building,Chicago,US,1920,1922,133.5099945,27,steel,1,
Park Laurel Condominiums,New York City,US,0,2001,133.5,40,concrete,1,
Willoughby Tower,Chicago,US,0,1929,133.5,38,steel,1,
The Crest,New York City,US,0,1929,133.5,35,steel,1,
Borden Building,Columbus,US,0,1974,133.5,34,steel,1,
Empire Trust Company Building,New York City,US,0,1927,133.5,33,steel,1,
One California,San Francisco,US,0,1969,133.5,32,steel,1,
1010 Common,New Orleans,US,0,1970,133.5,31,concrete,1,
Cadillac Tower,Detroit,US,0,1927,133.1999969,40,steel,1,
The Peninsula,Jacksonville,US,2004,2006,133.1999969,36,concrete,1,
Residence Inn New York Manhattan/Times Square,New York City,US,2004,2006,133.1499939,43,concrete,2,
Cira Centre,Philadelphia,US,2004,2005,133.1000061,29,steel,1,
David Stott Building,Detroit,US,1928,1929,133.0800018,32,steel,1,
Crystal Point,Jersey City,US,2007,2009,132.8999939,42,concrete,1,
San Francisco Marriott,San Francisco,US,0,1989,132.8999939,39,steel,1,
Block 37 Tower,Chicago,US,2014,2016,132.8899994,38,concrete/steel,2,
750 3rd Avenue,New York City,US,0,1958,132.8899994,34,steel,1,
Annenberg Pavillion,New York City,US,0,1974,132.8899994,26,steel,1,
140 New Montgomery Street,San Francisco,US,1924,1925,132.6999969,26,steel,2,
Russ Building,San Francisco,US,0,1927,132.6000061,32,steel,1,
Archstone Midtown West,New York City,US,1997,1998,132.5899963,40,concrete,1,
Trump Plaza,New Rochelle,US,2005,2007,132.5899963,40,concrete,1,
745 5th Avenue,New York City,US,1929,1931,132.5899963,34,steel,1,
180 North LaSalle,Chicago,US,1971,1972,132.5800018,37,concrete,1,
The Palisades,Fort Lee,US,0,2001,132.3000031,41,concrete,1,
Spring,Austin,US,2007,2009,132.2899933,43,concrete,1,
Fontainebleau Tower Suites,Miami Beach,US,2002,2005,132.25,36,concrete,2,
Silver Tower,Chicago,US,2007,2010,132.0800018,39,concrete,1,
5900 Wilshire,Los Angeles,US,0,1971,132,31,steel,1,
225 West Wacker,Chicago,US,1987,1989,132,28,concrete,1,
The Vanderbilt,New York City,US,0,1986,131.9799957,40,concrete,1,
ITT Building,New York City,US,1927,1928,131.9799957,35,steel,1,
Loft 2,Miami,US,2005,2007,131.9799957,35,concrete,1,
Chrysler Building East,New York City,US,1998,1999,131.7400055,32,steel,1,
535 5th Avenue,New York City,US,0,1926,131.6799927,36,steel,1,
National City Bank Building,New York City,US,0,1928,131.6799927,32,steel,1,
Bush Tower,New York City,US,1916,1917,131.6799927,30,steel,1,
Riverplace Tower,Jacksonville,US,1965,1967,131.6799927,28,precast,1,
The Savoy Condominiums,New York City,US,0,1986,131.6699982,42,concrete,1,
218 West 35th Street,New York City,US,2013,2015,131.6699982,39,concrete,1,
BKLYN Air,New York City,US,2008,2014,131.6699982,39,concrete,1,
Borgata Hotel & Casino,Atlantic City,US,2000,2007,131.4499969,42,concrete,2,
Ability Institute of RIC,Chicago,US,2013,2016,131.4499969,27,steel/concrete,1,
1130 South Michigan,Chicago,US,1966,1967,131.3699951,43,concrete,1,
167 West Erie Street,Chicago,US,2016,2017,131.1000061,39,concrete,1,
Bellevue Towers One,Bellevue,US,2006,2008,131.0700073,42,concrete,1,
100 North Main Building,Memphis,US,0,1965,131.0700073,37,concrete,1,
Carl B. Stokes Federal Courthouse,Cleveland,US,1999,2002,131.0700073,23,steel,1,
No. 9 Walton,Chicago,US,2015,2018,131.0599976,35,concrete,1,
Baltimore Marriott Waterfront Hotel,Baltimore,US,0,2001,131.0599976,32,concrete,1,
Memorial Hermann Medical Plaza,Houston,US,2004,2007,131.0399933,28,concrete,2,
McClurg Court Center A,Chicago,US,1970,1971,131,46,concrete,1,
McClurg Court Center B,Chicago,US,1970,1971,131,46,concrete,1,
Turnberry Ocean Colony North Tower,Sunny Isles Beach,US,2003,2007,131,37,concrete,1,
Turnberry Ocean Colony South Tower,Sunny Isles Beach,US,2006,2008,131,37,concrete,1,
1700 Market Street,Philadelphia,US,0,1968,131,32,concrete,1,
Trump Taj Mahal Casino Hotel,Atlantic City,US,1987,1990,130.7599945,42,composite,2,
Fred F. French Building,New York City,US,1926,1927,130.7599945,38,steel,1,
AT&T Building,New York City,US,0,1930,130.7599945,28,steel,1,
Linc LIC,New York City,US,2011,2013,130.75,41,concrete,1,
First Hawaiian Center,Honolulu,US,1993,1996,130.75,30,steel,1,
1555 North Astor,Chicago,US,0,1975,130.5599976,48,concrete,1,
One Carnegie Hill,New York City,US,2004,2006,130.5,41,concrete,1,
712 Main Street,Houston,US,0,1929,130.4600067,37,steel,1,
101 Warren Street,New York City,US,2006,2008,130.4600067,32,concrete,1,
Bank of America Building,Providence,US,0,1927,130.4600067,26,steel,1,
Manhattan Plaza Apartments I,New York City,US,1974,1977,130.4499969,46,concrete,1,
Manhattan Plaza Apartments II,New York City,US,1974,1977,130.4499969,46,concrete,1,
Harlem River Park Tower I,New York City,US,0,1975,130.4499969,44,concrete,1,
Harlem River Park Tower II,New York City,US,0,1975,130.4499969,44,concrete,1,
Hyatt Regency Orlando Expansion Tower,Orlando,US,2008,2010,130.3500061,31,concrete,1,
Toren,New York City,US,2007,2009,130.25,37,steel,1,
Marbella Apartments,Jersey City,US,2001,2003,130.1999969,40,concrete,1,
Finland House,New York City,US,0,1970,130.1499939,38,concrete,1,
Sheraton Kansas City Hotel at Crown Center,Kansas City,US,0,1980,130,45,steel,1,
Evo at Cira Centre South,Philadelphia,US,2013,2014,130,36,concrete,1,
AMA Building,Chicago,US,1988,1990,130,30,steel,1,
Phoenix Observation Tower,Phoenix,US,0,0,130,9,concrete,2,
500 Brickell East Tower,Miami,US,2005,2007,129.8500061,42,concrete,1,
500 Brickell West Tower,Miami,US,2005,2007,129.8500061,42,concrete,1,
Eugenie Square,Chicago,US,0,1972,129.8500061,42,concrete,1,
The Spires,Houston,US,0,1983,129.8500061,40,concrete,1,
The Carlyle,New York City,US,1930,1931,129.8500061,38,steel,2,
The Vue at Lake Eola,Orlando,US,2005,2007,129.8500061,35,concrete,1,
Milwaukee Center,Milwaukee,US,0,1988,129.8500061,28,concrete,1,
Waihonua at Kewalo,Honolulu,US,2013,2015,129.8000031,43,concrete,1,
Ocean Two Condominiums I,Sunny Isles Beach,US,0,2001,129.8000031,40,concrete,1,
Ocean Two Condominiums II,Sunny Isles Beach,US,0,2001,129.8000031,40,concrete,1,
The Promenade,New York City,US,0,1987,129.8000031,37,concrete,1,
Fairmont Hotel,Chicago,US,0,1987,129.7700043,37,concrete,1,
The Rushmore,New York City,US,2006,2008,129.5399933,41,concrete,1,
Avenue,Charlotte,US,2005,2007,129.5399933,36,concrete,1,
Blue on the Bay,Miami,US,2003,2005,129.5399933,36,concrete,1,
1835 Market Street,Philadelphia,US,1985,1986,129.5399933,29,steel,1,
Yorkville Towers,New York City,US,0,1975,129.5,42,concrete,1,
203 East 92nd Street,New York City,US,2014,2016,129.5,36,concrete,2,
505 Montgomery,San Francisco,US,0,1988,129.5,24,steel,1,
Sky55,Chicago,US,2004,2006,129.4100037,40,concrete,1,
323 10th Avenue,New York City,US,2015,2017,129.3999939,35,concrete,1,
Grand Hyatt San Antonio,San Antonio,US,2006,2008,129.3099976,34,concrete,2,
GreenWater Block 1 Residential,Austin,US,2014,2016,129.2599945,38,concrete,1,
Harbor Club East,San Diego,US,0,1992,129.2400055,41,concrete,1,
Harbor Club West,San Diego,US,0,1992,129.2400055,41,concrete,1,
Time Warner Building,New York City,US,1946,1947,129.2400055,33,steel,1,
Whitehall Building Annex,New York City,US,1909,1910,129.2400055,31,steel,1,
One PNC Plaza,Pittsburgh,US,0,1972,129.2400055,30,steel,1,
Mortimer B. Zuckerman Research Center,New York City,US,2002,2008,129.2400055,25,steel,3,
1800 Club,Miami,US,2004,2007,129.0500031,40,concrete,1,
Rio Condominium & Spa,New York City,US,0,1986,129,39,concrete,1,
VUE at Brickell,Miami,US,2002,2004,129,36,concrete,3,
Fifth Third Center,Cincinnati,US,0,1969,129,32,steel,1,
Brickell on the River South Tower,Miami,US,2005,2007,128.9299927,42,concrete,1,
ICON at South Beach,Miami Beach,US,2003,2004,128.9299927,42,concrete,1,
Palms Casino Hotel,Las Vegas,US,1999,2001,128.9299927,42,concrete,2,
The Bowie,Austin,US,2012,2015,128.8999939,37,concrete,1,
Rio Masquerade Tower,Las Vegas,US,0,1997,128.8600006,42,concrete,2,
195 Broadway,New York City,US,1913,1922,128.6300049,29,steel,1,
Wells Fargo Center,Salt Lake City,US,1996,1998,128.6300049,26,steel,1,
Archstone Chelsea,New York City,US,2002,2004,128.6199951,36,concrete,1,
180 Riverside Boulevard at Trump Place,New York City,US,0,1998,128.5700073,40,concrete,1,
Moana Pacific East Tower,Honolulu,US,2004,2008,128.5299988,46,concrete,1,
Moana Pacific West Tower,Honolulu,US,2005,2008,128.5299988,46,concrete,1,
2020 North Lincoln Park West,Chicago,US,0,1971,128.3200073,39,concrete,1,
CenturyLink Building,Minneapolis,US,1930,1932,128.3000031,26,steel,1,
One Sutton Place North,New York City,US,2000,2003,128.1699982,41,concrete,1,
Two Sutton Place North,New York City,US,2012,2014,128.1699982,41,concrete,1,
Skybridge,Chicago,US,2000,2003,128.1699982,39,concrete,1,
Market Tower,Indianapolis,US,1986,1988,128.1699982,32,concrete,1,
2 Columbus,New York City,US,1996,1998,128.0200043,41,concrete,1,
The Infinity II,San Francisco,US,2005,2009,128.0200043,41,concrete,1,
Vantage Pointe Condominium,San Diego,US,2006,2009,128.0200043,41,concrete,1,
Park Place on Peachtree,Atlanta,US,0,1986,128.0200043,40,concrete,1,
PNC Plaza,Louisville,US,0,1971,128.0200043,30,concrete,1,
Justice Center,Cleveland,US,1972,1977,128.0200043,26,steel,2,
The Mark on Brickell,Miami,US,0,2001,128,36,concrete,1,
Panorama Tower I,Las Vegas,US,2004,2006,128,32,concrete,1,
Panorama Tower II,Las Vegas,US,2005,2008,128,32,concrete,1,
JPMorgan Chase Building,San Francisco,US,2000,2002,128,31,steel,1,
LDS Office Building,Salt Lake City,US,0,1973,128,30,steel,1,
2828 Peachtree Luxury Condominiums,Atlanta,US,0,2002,127.8700027,33,concrete,1,
Federal Building,Cleveland,US,1964,1967,127.7099991,31,steel,1,
Keola Lai,Honolulu,US,2005,2008,127.6999969,42,concrete,1,
100 East Pratt Street,Baltimore,US,1991,1992,127.5500031,28,steel,1,
Hokua at 1288 Ala Moana,Honolulu,US,2003,2006,127.4100037,40,concrete,1,
Oakbrook Terrace Tower,Oakbrook,US,0,1986,127.4100037,31,composite,1,
Pacifica Honolulu,Honolulu,US,2007,2012,127.4000015,46,concrete,1,
Axis on Brickell North Tower,Miami,US,2005,2008,127.4000015,40,concrete,1,
Axis on Brickell South Tower,Miami,US,2005,2008,127.4000015,40,concrete,1,
The Paramount,San Francisco,US,2000,2002,127.4000015,40,precast,1,
80 Broad Street,New York City,US,1930,1931,127.4000015,36,steel,1,
The Waiea,Honolulu,US,2014,2016,127.4000015,36,concrete,1,
Pacwest Center,Portland,US,1982,1984,127.4000015,30,composite,1,
River Line Building B,Chicago,US,0,0,127.3300018,38,concrete,1,
Nauru Tower,Honolulu,US,0,1992,127.1399994,44,concrete,1,
Alta at K Station - East Tower,Chicago,US,2008,2010,127.1399994,41,concrete,1,
Hidden Bay 1,Aventura,US,0,2000,127.0999985,40,concrete,1,
